,Run,Target,RCDB_Tpol,HWP,fcup_POS,fcup_NEG,fcup_ZERO,fcup_BAD,PbPt,PbPt_err_stat,PbPt_err_dil,PbPt_err
0,16982,NH3,0.694889,0.0,16505.58648060789,16506.35904115117,102.39572462253273,45990.98881088017,0.6941171680695963,0.013618773069594435,0.007079028504656526,0.01534873364453401
1,16983,NH3,0.70736,0.0,39572.66258551879,39641.376793991425,579.2608178958762,123652.65088003984,0.6997355024105878,0.008865089614414219,0.006915972482299637,0.01124368663951111
2,16984,NH3,0.701889,0.0,39302.11211871082,39156.27441225789,418.7559077583719,117176.78384506109,0.6493659868128798,0.008893316810907053,0.006309386443913434,0.010904102035371854
3,16986,NH3,0.697047,0.0,19404.97880317585,19377.1297387245,368.35230383323506,64418.8752767953,0.6383692457553835,0.012711001616815798,0.006213980860667434,0.014148608420598648
4,16987,NH3,0.6897,0.0,32476.723969774146,32386.062622229612,476.1114653039549,116980.93787536756,0.6278465657683253,0.010734571923147905,0.006313525299011247,0.012453579247529217
5,16988,NH3,0.681982,0.0,10094.919056050523,9994.847417798184,135.8355156313628,39098.98059276404,0.5738187409910893,0.01767959660240148,0.005340842265039059,0.018468696004961302
6,16989,NH3,0.682852,1.0,43277.94687404405,43091.655199926725,626.0939513812773,133398.0383969025,0.6702615798589696,0.0084779712767079,0.006691273445765922,0.010800423014618286
7,16990,NH3,0.669132,1.0,43143.32645147722,43197.82627160393,635.5176047256682,139103.16790531203,0.7091388629928421,0.008481850164276022,0.007090713507848456,0.011055315475354549
8,16991,NH3,0.662773,1.0,44460.888918268785,44457.331294115924,626.2156695628655,157088.96731274214,0.6924666986331649,0.008366896990976909,0.0068557086188842375,0.010816917579637096
9,16992,NH3,0.65621,1.0,42631.41319218087,42525.57255227462,822.5704612788395,137324.10562760173,0.6671510315640139,0.008547089281035354,0.0066469630742660435,0.010827504481118709
10,16993,NH3,0.656392,1.0,32539.73714367095,32416.487975211385,469.78512445185333,103972.44856134863,0.6326742559675079,0.00979153618804617,0.006305090289625448,0.011645958289558951
11,16995,NH3,0.765874,1.0,7066.805867574731,7118.760076012346,107.39807827956975,25699.66004157171,0.8135002430380343,0.020810964278933045,0.008606964819739549,0.022520570099961088
12,16996,NH3,-0.723409,1.0,23834.3064871167,23623.323918914917,485.1644698122982,73318.93256329763,-0.6903366179415411,0.011356347734995664,0.006919853543516208,0.013298534014764747
13,17000,NH3,-0.717638,1.0,18878.388930155998,18700.48810797863,264.08904394553974,57848.60602236062,-0.6639242582524871,0.01277310126726529,0.006597227217888635,0.014376213790434002
14,17001,NH3,-0.6992,1.0,41704.70275263717,41468.64197991889,645.6296253465116,140429.68446638162,-0.6154037425726057,0.008580912092231427,0.005985586772776497,0.01046227993073405
15,17002,NH3,-0.670522,1.0,37119.56544000024,36855.882690845,727.9783292809734,126795.82816437421,-0.5987092719998184,0.009104615103676463,0.005885276889346425,0.010841148474694398
16,17003,NH3,-0.691313,1.0,5877.0982609361145,5862.037047568601,117.75813802680932,19942.108471572414,-0.5694344381402845,0.022870649177848434,0.005083194053401685,0.02342873141253614
17,17008,NH3,-0.680958,1.0,7568.3205980017665,7552.160980305489,127.76203234083368,28884.888813486992,-0.570158342944407,0.02014002546997028,0.005192207002384375,0.020798548975509347
18,17010,NH3,-0.680789,1.0,41115.78502853005,40801.3562117243,612.988676975423,134908.26117873233,-0.6422151602082777,0.008641913706627853,0.0063991710821931225,0.010753235004033858
19,17011,NH3,-0.665212,1.0,4388.231261542882,4389.962315318757,61.88544149987865,13122.123751487467,-0.5089986939120695,0.026397762239425908,0.004878993046259605,0.026844858434991046
20,17014,NH3,-0.669216,1.0,20577.688238942625,20505.329017604665,381.9022648854807,80277.04609804488,-0.5727757006985233,0.012169746490898433,0.005508271045631008,0.01335828505328703
21,17015,NH3,-0.643556,0.0,20149.643937356333,20165.861833564995,421.443399881362,65691.93624937045,-0.5904041476270858,0.012299502077976832,0.0055620354066509,0.013498666201925087
22,17016,NH3,-0.649726,0.0,34546.9044091698,34425.48719264372,516.4935369788727,122701.1428318018,-0.5939774532155375,0.009398828774202264,0.00589863454072026,0.011096480152361404
23,17019,NH3,-0.637969,0.0,40440.76830926663,40307.44497542466,582.2378490004048,150933.22572013515,-0.5911351328447003,0.008703759110451315,0.005751365516393936,0.010432335690339415
24,17020,NH3,-0.651683,0.0,36976.77333044654,36757.76916691018,743.1318843525369,131310.63153042225,-0.6179350714000226,0.009125598551581671,0.00615419654391286,0.011006847142835159
25,17021,NH3,-0.64668,0.0,7014.0775229134015,7012.902079216961,93.70584167563356,28963.76847247078,-0.6139096574789552,0.021080248087568195,0.006285363768830321,0.02199733295515498
26,17022,NH3,-0.656645,0.0,5595.267569470976,5534.255156790801,111.93810423044488,20670.542112435985,-0.6898593906031628,0.023418577066897595,0.006698462145816542,0.0243577327959143
27,17025,NH3,-0.645361,0.0,31441.38767322278,31333.676183350777,468.14346072578337,114834.75311976192,-0.6088924651770027,0.009869511154607505,0.00594050514866129,0.011519411957743036
28,17026,NH3,-0.643716,0.0,3884.00342754391,3828.6608016988175,57.23984381876653,19153.813742960716,-0.7210705647179275,0.027553999749021896,0.007113166343240995,0.02845733714871641
29,17027,NH3,-0.652738,0.0,21786.808010303335,21816.397235790224,433.8562718043395,90025.4349974486,-0.5565558515722294,0.011853206839512676,0.005187737931569181,0.012938745581659444
30,17028,NH3,-0.649786,1.0,3574.3895863927914,3518.234929170305,73.13967055897956,12623.110441469089,-0.6201995270041832,0.029366794703902552,0.0061415255863621065,0.030002116053856925
31,17032,NH3,-0.646743,1.0,2107.9956312180293,2129.2914167544513,26.97852913061797,7602.308885625491,-0.44948814922716124,0.038034218020939654,0.0035603741767285535,0.03820049744103716
32,17067,NH3,0.797797,0.0,12276.659634346768,12236.378111790735,160.3321687071293,46217.17244186727,0.7250801022859488,0.015803224453500245,0.006930655728396795,0.017256184165488832
33,17069,NH3,0.787277,0.0,10223.96034708216,10243.913005742259,142.80204964929726,48030.092738893625,0.7624006235669094,0.01727195293461855,0.007594571662326022,0.018867906002253767
34,17070,NH3,0.782723,0.0,3181.2877893941186,3220.778532554599,42.81232653881307,23696.55907268636,0.8604405338805324,0.030829061308041045,0.008319849235998267,0.0319319731999871
35,17071,NH3,0.781715,0.0,11795.735021299915,11781.56415548407,209.53118564565375,59613.92404645524,0.7131752445136674,0.016116614277281994,0.00734790311637934,0.017712620810325812
36,17073,NH3,0.779579,0.0,25678.211072684993,25639.284961568104,468.3780845782603,96902.79922545204,0.7100726682417315,0.010928340359830641,0.0068579868780043185,0.01290196136404007
37,17074,NH3,0.764259,0.0,6866.109515484546,6871.3032740334165,140.61284999750205,21901.58327597205,0.714668266839935,0.02115988890177113,0.0068491596903352825,0.0222407708229506
38,17075,NH3,0.758588,0.0,5207.572621195286,5207.253737837542,66.07779277511872,17437.05409182748,0.6941584001624815,0.024286917513273876,0.006682327401141275,0.025189439489449003
39,17076,NH3,0.759002,0.0,37160.03520285236,37277.00328870589,644.8748417612223,129739.62398992621,0.7242359214206003,0.009073806747416981,0.007145853127820012,0.011549769946360186
40,17077,NH3,0.741565,0.0,4686.774757829626,4667.381332026736,80.07252658768266,15207.334085044902,0.6582263051004562,0.025551721055768854,0.006886177953462358,0.026463368941209514
41,17078,NH3,0.744938,0.0,1204.8061109593255,1180.433910245978,21.15898857920547,3508.295888533903,0.4835264484519491,0.05047067710796318,0.005110510099361726,0.050728754776871436
42,17079,NH3,0.747987,0.0,2588.964933655516,2607.2146043297107,17.230532502173446,8602.25694425928,0.6725988526781601,0.037203306893847626,0.006554476803226794,0.03777627840327642
43,17084,NH3,0.742317,0.0,14121.282886572706,14182.260961047868,105.22523254778935,44675.86379048778,0.7440703171862836,0.01459355530892359,0.007834132629823576,0.016563377995332907
44,17085,NH3,0.737114,1.0,15328.783101287918,15282.514750415008,150.96175347914686,52875.101881293434,0.6854069230916942,0.014039688291240457,0.006908961617052289,0.015647574826186204
45,17086,NH3,0.731689,1.0,2110.6496261656575,2107.948967703298,25.631767007813323,6733.716511853738,0.6118159462806013,0.037988776488181594,0.005935576961835554,0.03844968417216053
46,17087,NH3,0.736169,1.0,3738.9438243241166,3681.960590311879,68.24326324509457,12786.452953952918,0.5246511843937058,0.02871905681598063,0.004493196605224181,0.029068419979983804
47,17088,NH3,0.732985,1.0,26560.239128366098,26573.61705409181,205.11338014292414,95193.07958716444,0.6824210969555172,0.010647382523002973,0.0068809617108486765,0.012677317881054915
48,17092,NH3,0.731344,1.0,32435.450798590522,32333.284408212057,248.60125695516763,102438.48207768834,0.6628642080775052,0.009657256574341647,0.00657088585672061,0.011680716822383627
49,17093,NH3,0.720307,1.0,12545.202654404915,12530.868964380512,98.20699142225203,40368.07942759647,0.6517745926572998,0.015513478029884757,0.0064758210207420674,0.016810837530486154
50,17095,NH3,-0.650968,1.0,15640.295694332483,15567.994714982022,154.70332427881658,51051.678403714934,-0.6334213782868539,0.013990312647188738,0.006140492744526549,0.015278563385072313
51,17096,NH3,-0.665408,1.0,29666.734269594614,29512.6051515515,229.7660855926806,94564.32684689318,-0.6272272304159267,0.010155274748435127,0.005989868908872542,0.011790171108244447
52,17097,NH3,-0.666777,1.0,14472.380227311864,14388.61387922932,115.74370660896966,54760.580097376514,-0.6305935404318666,0.014516528124865943,0.006363245393782857,0.015849936300866407
53,17098,NH3,-0.664892,0.0,16591.437121785755,16525.17801770303,163.92902434669668,51154.981491961385,-0.6297338426931833,0.013571739970755968,0.006456306774458853,0.015029172399029112
54,17100,NH3,-0.670973,0.0,32133.00718688857,32106.18012481951,317.3681873587484,98911.91855410431,-0.6074546561250972,0.009731513420289894,0.0057352440839088525,0.011295812416612353
55,17101,NH3,-0.659396,0.0,3005.5259630820437,3020.4548318575216,31.353947282768786,8621.958450265345,-0.5248540119418798,0.0318436991085793,0.005143648022771896,0.03225644567989318
56,17102,NH3,-0.658761,0.0,14084.725978005285,14094.937880495927,101.54759777188883,39237.276279239246,-0.579372285880151,0.014685370815176174,0.005835743626658452,0.015802405502179498
57,17144,NH3,0.788349,0.0,8675.866788174375,8701.748862843,134.5548067621421,25855.44412970642,0.7488121185456167,0.018916899821698866,0.007510397172718286,0.020353259310394622
58,17145,NH3,0.777091,0.0,37961.59251222224,37909.22149411186,512.1523590408469,129894.55280854387,0.6963536076284008,0.009046694758839974,0.006785358543325293,0.011308570936289881
59,17146,NH3,0.748993,0.0,33371.40414500331,33375.907133948014,469.6566342910519,118128.67140910117,0.6878685041967653,0.009609317562842772,0.006828364833629752,0.011788365040356954
60,17147,NH3,0.734006,0.0,10472.322972034133,10437.692128089635,191.98334536145558,33987.12318206465,0.6078677943842307,0.017141669122113505,0.005954155248662607,0.018146316017781574
61,17149,NH3,0.734242,0.0,7834.046527879429,7847.448215312732,139.14396176225273,24653.905923107348,0.6791830589095904,0.01970585020099649,0.006715932565337868,0.020818844405160415
62,17150,NH3,0.729631,0.0,42926.75448141212,42982.276383889155,808.4213082221395,151863.5418453839,0.6801927957396267,0.008458150405537842,0.006741566538797317,0.010816146618816315
63,17151,NH3,0.71279,0.0,30618.426014425684,30651.84567840743,570.4447687007487,107197.70163856198,0.6498602360244634,0.010008263016324577,0.0064450412709057825,0.011903944118972045
64,17157,NH3,0.673661,1.0,24843.957486854386,24826.96920339245,506.2531018599111,84980.61124673285,0.6080108354443846,0.011075368052439145,0.00589704771678734,0.012547467842997505
65,17158,NH3,0.669674,1.0,29096.33902492997,29242.393510107417,348.03878803300904,87537.30963745154,0.6705334109629217,0.010223335160913708,0.006836134343351508,0.012298346009635785
66,17159,NH3,0.665889,1.0,726.9192625301657,715.7936304163886,8.807720929384232,2214.576937520702,0.42867144041517075,0.06491611921213758,0.003755666331482388,0.06502466888157055
67,17160,NH3,0.664978,0.0,2895.353939265071,2914.59360742016,52.74216533091385,9255.963679673907,0.7291630530054963,0.03241678515818564,0.007300602928147659,0.0332287039034995
68,17161,NH3,0.66354,1.0,23114.343261306145,23087.63103065804,253.9193839110667,74866.43110305603,0.5880993823073142,0.011487013400305316,0.005836606940538003,0.012884776188864527
69,17162,NH3,-0.612095,1.0,18847.173220085664,18866.983365008942,235.0963911107974,58770.9641488733,-0.7119476424190181,0.012946371664082582,0.006857629538513821,0.01465044784817371
70,17163,NH3,-0.730472,1.0,2036.5072788754187,2044.266629598511,21.554405191534897,5460.005063703895,-0.7608978812580763,0.03909906564177105,0.007617990644327444,0.039834290699303054
71,17164,NH3,-0.733788,1.0,35295.27940190835,35196.84621882893,483.827017831034,112013.3166059988,-0.7532001285163938,0.00945385391992041,0.007506120225024782,0.012071337737455636
72,17165,NH3,-0.699339,1.0,24331.81348278973,24361.85582010061,412.77211196080316,77635.6744274617,-0.6681651206713324,0.011358425123695294,0.0065361913197488075,0.013104793712949172
73,17166,NH3,-0.678725,1.0,11265.48734543097,11255.576149110391,123.82310449579381,33401.59196305534,-0.6636311787835759,0.016695664249588894,0.006681120463843171,0.01798284113780091
74,17167,NH3,-0.669116,0.0,40722.82558465909,40653.73235322203,656.640169629798,127561.4432050699,-0.6293780037367973,0.008770590759319087,0.006308798658400838,0.010803897573546946
75,17168,NH3,-0.647969,0.0,43075.424690634696,43090.670900509416,727.0015004548186,129526.7804130132,-0.6020966166796612,0.00851836796586206,0.005832681757681313,0.010323893126539682
76,17169,NH3,-0.63257,0.0,30483.381486035592,30323.948821420636,497.62450345658,105317.09705782251,-0.6469304477530994,0.01012864650854681,0.006493064546814753,0.012031183121547114
77,17185,NH3,0.618105,0.0,2925.9427073980332,2920.7366038647015,10.634295734897023,8721.058874413779,-0.6507525673689364,0.03212100586404353,0.006158997873573158,0.03270615037763689
78,17187,NH3,0.62674,0.0,1120.4542664600885,1130.9697319203406,13.585390045918757,7619.240292344242,-0.5859239346531244,0.053940972028631344,0.0055284708214766165,0.05422354150198516
79,17188,NH3,0.630061,0.0,3430.105297276663,3429.7288450666238,46.09670253965305,15187.624765956163,-0.6354440060029272,0.03018975499788848,0.006390422398589446,0.030858690919495047
80,17189,NH3,0.63498,0.0,8029.7788436673145,8009.9429298013565,145.2651081104268,25873.70980630703,-0.6122767885863277,0.019798864759711772,0.00591189242740231,0.020662659989617346
81,17190,NH3,0.641865,0.0,2359.2057377316814,2342.4566033609444,34.058539011050016,8428.280407466955,-0.7552001287221534,0.04025002795726235,0.007754121739413533,0.04099013484376511
82,17191,NH3,0.640683,0.0,43976.12756191478,43807.28702133488,581.7350367989566,138698.84350619907,-0.6768345246568223,0.008473252055761339,0.006730475502427724,0.010821058214853272
83,17192,NH3,0.640446,0.0,20224.01047627548,20126.592861604724,275.6449782306772,65612.88934110371,-0.6911714755991213,0.012513012980211437,0.006746957286468402,0.014216079855866348
84,17195,NH3,0.642059,1.0,43856.01867735233,43845.11659186214,560.1091503871139,134865.13598994093,-0.6492793809611147,0.008479585958901975,0.006352489229910829,0.010595163870867718
85,17197,NH3,0.6396,1.0,14506.072246885637,14489.994986523121,187.25514126973212,60489.45328384257,-0.6724946530605124,0.01475338334448975,0.00641587973273855,0.016088064919512007
86,17199,NH3,0.640174,1.0,13845.667408546578,13870.607571717366,189.6069026621699,47533.42014455263,-0.6376037955485273,0.015092870576364855,0.006266071116021399,0.01634192122933952
87,17203,NH3,0.651857,1.0,22690.353418988463,22666.894322151566,401.6750792772491,78151.90998165193,-0.6468829571747778,0.01174247264910634,0.00621073883113582,0.013283784880205974
88,17204,NH3,0.648228,1.0,18052.904886890094,17991.28502191692,302.9312609429908,65259.98036999942,-0.6791091587344715,0.01316517372585875,0.0067761513096456505,0.014806688549545912
89,17206,NH3,0.653056,1.0,26466.295048740925,26388.759990939987,479.8108740149182,82585.01500750732,-0.6585665600948496,0.010881710972817931,0.006440243371440557,0.012644697243482352
90,17207,NH3,0.649852,0.0,22184.675281126638,22245.63881153104,402.2589226454438,79018.43571410648,-0.6142155705651355,0.011866079744173993,0.005889633579169384,0.013247325473165364
91,17211,NH3,0.639203,0.0,4739.799273435536,4715.400310788929,59.71222310655867,14264.457039460787,-0.7210519578074839,0.02573042472718247,0.007156961433495479,0.026707243466927558
92,17212,NH3,0.637071,0.0,40641.00921215162,40645.924215720326,540.6484820471669,134335.93008822133,-0.6168772004126576,0.008775290011354348,0.0059932796270775746,0.010626622957069592
93,17214,NH3,0.63535,0.0,21213.519704754,21293.935384792043,304.97170452191494,68473.73775640607,-0.6144872037966063,0.01213758408983047,0.005927686337547977,0.013507716789082407
94,17215,NH3,-0.735939,0.0,6931.414741032349,6912.8322430860135,105.9696775036864,24471.29505792068,0.633665532332211,0.02130240164335658,0.006011500567154604,0.022134372700480607
95,17216,NH3,-0.716182,0.0,4833.383481785626,4851.8400768704305,74.47153191792313,16612.565613461848,0.7264690043778046,0.0256611027324194,0.007191230504474455,0.026649690234827616
96,17221,NH3,-0.699716,0.0,16096.311912270554,16173.59798796181,292.9001342005795,63557.5633971651,0.6733917497922773,0.013976068207320709,0.006556975921957364,0.015437759415692722
97,17222,NH3,-0.67078,0.0,22934.995634854276,22962.518170975178,522.8453836088374,85624.77541217284,0.6536019748698666,0.011752465280297634,0.006551905732028851,0.013455404448993492
98,17223,NH3,-0.741384,1.0,6566.238698258101,6564.738166078445,129.73187191421312,26830.27507653649,0.6269673190142229,0.021868086677811458,0.00606274944861418,0.022692953660221196
99,17224,NH3,-0.744229,1.0,36823.775524214376,36887.53398928323,707.4971136525999,129678.19343304451,0.652222417108928,0.009250293960380568,0.006502379879768649,0.011307028011563134
100,17225,NH3,-0.718634,1.0,9827.472281275694,9830.769815315896,176.57960995089888,39440.04481646213,0.6502027281892824,0.01789920373970214,0.006289723011777992,0.018972140366343926
101,17353,NH3,-0.66564,0.0,36669.88017182557,36644.82355307482,1814.6764391070465,116387.40619204367,0.5400354211646706,0.009357827001146513,0.005347042064031249,0.01077774489482407
102,17355,NH3,-0.651207,0.0,5856.537783382142,5843.5060927609975,271.0403214065591,21194.158367051426,0.5571689723129991,0.023391750142808785,0.005283709046476404,0.023981066615799462
103,17356,NH3,-0.650839,0.0,44592.47569313718,44423.59212090638,3051.0644363137544,140444.0459203022,0.5306742409625528,0.008521268553651052,0.005077400878849836,0.009919275046493438
104,17357,NH3,-0.656162,0.0,41936.263591681076,41889.29457489586,2748.003101374663,134502.5367091896,0.5481779059462796,0.008775994556994906,0.005285722159444506,0.01024484939914916
105,17358,NH3,-0.655497,0.0,49015.50722233267,48880.75541788363,3345.0349185959785,153040.34777977646,0.5391756893468567,0.00810499797463728,0.005187219991003855,0.009622798106784972
106,17359,NH3,-0.654354,0.0,42679.167335154285,42719.41023353927,2597.9599901553593,133065.86194247994,0.5941851764348265,0.008673069475394991,0.005627908592533093,0.010339027480906324
107,17360,NH3,-0.655097,1.0,21314.79819915835,21333.35439578457,897.0053390426328,68014.22062021517,0.5665113810453623,0.012279828941841563,0.005735154454119429,0.013553088041236049
108,17361,NH3,-0.572675,1.0,42923.88325336193,42985.475456165485,2738.2889259816147,136436.83815352168,0.567711515330226,0.008639567404931473,0.005468240481085296,0.010224665222066408
109,17362,NH3,-0.655011,1.0,30243.324483795506,30111.53038098672,1974.022614489404,94937.0948651615,0.47950364364683135,0.010306537646645395,0.004442411005031538,0.011223178417870051
110,17363,NH3,-0.614099,1.0,17716.328329422482,17809.342799540667,1208.4419749740046,58200.33253224287,0.5930127571546728,0.013423712198619509,0.006040910378893483,0.014720348073234859
111,17364,NH3,0.000191554,1.0,16089.299407344035,16165.640359885349,1000.1853374259772,51203.45896884975,0.6082492550858634,0.014091990883194036,0.005948964849116389,0.015296221423215807
112,17366,NH3,-0.646924,1.0,1039.5224014678097,1058.062645897735,46.90776265409659,3103.815211357549,0.6971671548630807,0.05534141175903481,0.007368494411553128,0.055829799976142895
113,17368,NH3,-0.559457,1.0,20386.51789462836,20413.66932304909,1194.5054161213884,70043.53993614581,0.5300006951335171,0.012591436700858723,0.005169276507984821,0.013611234249976588
114,17371,NH3,0.809956,1.0,21007.741549657258,20936.323798836856,1101.7502161548964,77992.92618753726,-0.695400749191511,0.012180529017950616,0.006738183722716229,0.013920072091703222
115,17373,NH3,0.800869,1.0,42101.316864699824,41960.66014344018,1519.7230441706051,143317.94154246946,-0.6699223337796977,0.008630397331912001,0.006593859339300567,0.01086106528353251
116,17374,NH3,0.78023,1.0,39754.84609986794,39735.119924387924,2156.7198747107323,146170.54452736586,-0.6424048982763593,0.008875891850300112,0.006405183555669158,0.010945676430446798
117,17375,NH3,0.771125,1.0,41767.84234440891,41728.30428139045,2667.088131653989,134227.6013001456,-0.6131113445230054,0.008646214522603723,0.006053600329532172,0.010554766815074388
118,17376,NH3,0.758703,1.0,11541.783830455737,11475.111103850562,769.2396945570363,42265.56420428833,-0.6529312147236209,0.016478743659178702,0.006540107220837477,0.01772912843444293
119,17379,NH3,0.762573,1.0,36630.687149521815,36689.05313898969,2401.547121454587,140367.70290388743,-0.5919261269538161,0.009212689321698532,0.005663764598393295,0.010814428970784879
120,17381,NH3,0.754553,1.0,27537.44795069564,27481.233439322736,1136.0794543687953,116768.27024933259,-0.6259648789313077,0.01062557546198491,0.006135618081408889,0.012269827347572888
121,17382,NH3,0.747505,0.0,34062.299998199014,34052.05549731648,2388.7781099001877,121171.31498867547,-0.5810135761573105,0.009567612483762913,0.005730745040941121,0.011152607200279547
